module,boundary_status,migration_risk,imports,imported_by,top_level_imports,deferred_imports,test_dependents,runtime_dependents,third_party_imports,migration_preconditions
acquire_chain_study,CLEAN,LOW,,acquire_comparison_sources; test_chain_study,,,test_chain_study,acquire_comparison_sources,httpx; bs4,
acquire_comparison_sources,CLEAN,LOW,acquire_chain_study,,acquire_chain_study,,,,httpx,
acquire_held_out_study,CLEAN,LOW,,test_held_out_study,,,test_held_out_study,,httpx; bs4,
agreement_context,CLEAN,LOW,commitment_registry; models,model_assisted_candidates; test_agreement_context,commitment_registry; models,commitment_registry,test_agreement_context,model_assisted_candidates,,
amendment_parser,CLEAN,HIGH,,analyze_held_out_mutations; build_step23_audit; build_step23r_audit; build_unresolved_corpus; classify_development_corpus; diagnose_17b_defects; genre_adapters; produce_census_tables; semantic_pipeline; semantic_pipeline_v2; test_parser_v03; test_parser_v04_regression; test_semantic_regression,,,test_parser_v03; test_parser_v04_regression; test_semantic_regression,analyze_held_out_mutations; build_step23_audit; build_step23r_audit; build_unresolved_corpus; classify_development_corpus; diagnose_17b_defects; genre_adapters; produce_census_tables; semantic_pipeline; semantic_pipeline_v2,,
analyze_held_out_mutations,CLEAN,LOW,amendment_parser; chain_reconstruction; executor; models; run_held_out_study; semantic_mapper; semantic_pipeline,,run_held_out_study; semantic_pipeline; chain_reconstruction; amendment_parser; semantic_mapper; models; executor,semantic_pipeline,,,,
build_development_corpus,CLEAN,LOW,,,,,,,httpx; bs4,
build_failure_matrix,CLEAN,LOW,,test_build_failure_matrix; test_v02_change_spec,,,test_build_failure_matrix; test_v02_change_spec,,,
build_release_package,CLEAN,LOW,,test_build_release_package,,,test_build_release_package,,,
build_step22_taxonomy,CLEAN,LOW,,test_step22_taxonomy,,,test_step22_taxonomy,,,
build_step23_audit,CLEAN,LOW,amendment_parser; commitment_registry; genre_adapters; models; run_chain_study_v2; run_held_out_study; semantic_resolver_v2,test_step23_audit,amendment_parser; commitment_registry; genre_adapters; models; run_chain_study_v2; run_held_out_study; semantic_resolver_v2,,test_step23_audit,,,
build_step23r_audit,CLEAN,LOW,amendment_parser; executor; genre_adapters; models; run_chain_study_v2; run_held_out_study; semantic_resolver_v2,test_step23r_audit,amendment_parser; executor; genre_adapters; models; run_chain_study_v2; run_held_out_study; semantic_resolver_v2,,test_step23r_audit,,,
build_unresolved_corpus,CLEAN,LOW,amendment_parser; commitment_registry; models; pattern_classifier; run_chain_study_v2; run_held_out_study; semantic_mapper,test_build_unresolved_corpus,amendment_parser; commitment_registry; models; pattern_classifier; semantic_mapper,run_chain_study_v2; run_held_out_study,test_build_unresolved_corpus,,,
chain_reconstruction,BOUNDARY_VIOLATION,HIGH,executor; models; persistence,analyze_held_out_mutations; chain_study_chains; edgar_chains; run_chain_study; run_chain_study_v2; run_edgar_smoke_test; run_held_out_study; run_operational_preflight; run_smoke_test; run_v2_study; semantic_pipeline; semantic_pipeline_v2; synthetic_chains; test_chain_reconstruction; test_chain_study_v2; test_edgar_chains; test_step_22b_incorrect_mutation_fix,models; executor; persistence,,test_chain_reconstruction; test_chain_study_v2; test_edgar_chains; test_step_22b_incorrect_mutation_fix,analyze_held_out_mutations; chain_study_chains; edgar_chains; run_chain_study; run_chain_study_v2; run_edgar_smoke_test; run_held_out_study; run_operational_preflight; run_smoke_test; run_v2_study; semantic_pipeline; semantic_pipeline_v2; synthetic_chains,,authority and execution responsibilities extracted first; lineage graph retained as pure graph structure in lineage/ layer
chain_study_chains,CLEAN,MEDIUM,chain_reconstruction; edgar_chains; pattern_classifier,run_chain_study; run_chain_study_v2; run_operational_preflight; test_chain_study,chain_reconstruction; pattern_classifier,edgar_chains,test_chain_study,run_chain_study; run_chain_study_v2; run_operational_preflight,,
classify_development_corpus,CLEAN,LOW,amendment_parser,produce_census_tables; test_semantic_regression,amendment_parser,,test_semantic_regression,produce_census_tables,,
classify_gold_scope,CLEAN,LOW,gt_extractor; s0_extractor,,,s0_extractor; gt_extractor,,,,
commitment_extractor,CLEAN,HIGH,models,genre_adapters; gt_extractor; run_chain_study_v2; run_held_out_study; run_operational_preflight; run_v2_study; s0_extractor; test_chain_study_v2; test_commitment_extractor; test_v02_regression,models,,test_chain_study_v2; test_commitment_extractor; test_v02_regression,genre_adapters; gt_extractor; run_chain_study_v2; run_held_out_study; run_operational_preflight; run_v2_study; s0_extractor,,
commitment_registry,BOUNDARY_VIOLATION,HIGH,models,agreement_context; build_step23_audit; build_unresolved_corpus; genre_adapters; model_assisted_candidates; semantic_resolver_v2; test_agreement_context; test_commitment_registry,models,,test_agreement_context; test_commitment_registry,agreement_context; build_step23_audit; build_unresolved_corpus; genre_adapters; model_assisted_candidates; semantic_resolver_v2,,new identity interface exists first; evidence alias matching extracted to evidence/ layer; section-reference resolution extracted to evidence/ layer
create_held_out_gold,CLEAN,LOW,gold_schema,test_held_out_study,gold_schema,gold_schema,test_held_out_study,,,
diagnose_17b_defects,CLEAN,LOW,amendment_parser; run_chain_study_v2; semantic_pipeline,,amendment_parser; run_chain_study_v2; semantic_pipeline,,,,,
discovery_validation,CLEAN,LOW,,run_operational_preflight; test_v02_regression,,,test_v02_regression,run_operational_preflight,,
download_smoke_cases,CLEAN,LOW,,,,,,,httpx; bs4,
